accuracy,loss,val_accuracy,val_loss
0.9244258999824524,0.24881622195243835,0.98416668176651,0.0565904937684536
0.9619444608688354,0.12920044362545013,0.9865000247955322,0.04981675744056702
0.9677407145500183,0.11167524755001068,0.9879999756813049,0.04195977747440338
0.9679629802703857,0.10789166390895844,0.9878333210945129,0.04774196445941925
0.9705370664596558,0.10538959503173828,0.9861666560173035,0.04852844402194023
0.9721481204032898,0.0976673886179924,0.984333336353302,0.06417727470397949
0.971407413482666,0.09970572590827942,0.9878333210945129,0.04433880001306534
0.9720740914344788,0.09740816056728363,0.9851666688919067,0.05420262739062309
0.9727036952972412,0.09494619071483612,0.9879999756813049,0.06652377545833588
0.9728333353996277,0.09531603008508682,0.9890000224113464,0.04478134214878082
0.9740370512008667,0.09141518920660019,0.9891666769981384,0.04271720349788666
0.9755926132202148,0.08840687572956085,0.9881666898727417,0.04627455770969391
0.974740743637085,0.09185913950204849,0.9878333210945129,0.05173180624842644
0.9756666421890259,0.08809418231248856,0.9878333210945129,0.04678830876946449
0.9732407331466675,0.09790300577878952,0.9886666536331177,0.048844873905181885
0.9740740656852722,0.08928695321083069,0.9884999990463257,0.04126421734690666
0.9760925769805908,0.08534874767065048,0.9884999990463257,0.042515359818935394
0.9756110906600952,0.08776147663593292,0.9891666769981384,0.049066752195358276
0.975074052810669,0.09179811924695969,0.9886666536331177,0.05756699666380882
0.9762407541275024,0.08334854245185852,0.9890000224113464,0.053287047892808914
0.9763888716697693,0.08322515338659286,0.9881666898727417,0.06298244744539261
0.9776111245155334,0.08205542713403702,0.9886666536331177,0.05034758895635605
0.9763518571853638,0.08793798834085464,0.9888333082199097,0.056299708783626556
0.9766111373901367,0.08532301336526871,0.9890000224113464,0.05051121115684509
0.9760185480117798,0.09092366695404053,0.9898333549499512,0.04353222995996475
